00000000:Fri Feb 24 11:21:26 2006--> (ERROR) Could not create DirectSound performance object.
00000001:Fri Feb 24 11:21:26 2006--> (ERROR) Sound Driver initialization failed!
00000002:Fri Feb 24 11:21:26 2006--> (ERROR) Auto driver's init failed.
00000692:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000693:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000694:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000695:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000696:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000697:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000698:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000699:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000700:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000701:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000702:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000703:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000704:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000705:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000706:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000707:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000708:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000709:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000710:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000711:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000712:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000713:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000714:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000715:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000716:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000717:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000718:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000719:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000720:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000721:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000722:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000723:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000724:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000725:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000726:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000727:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000728:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000729:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000730:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000731:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000732:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000733:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000734:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000735:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000736:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000737:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000738:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000739:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000740:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000741:Fri Feb 24 11:21:58 2006--> (ERROR) Could not flip swap chain!
00000742:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000743:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000744:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000745:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000746:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000747:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000748:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000749:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000750:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000751:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000752:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000753:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000754:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000755:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000756:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000757:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000758:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000759:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000760:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000761:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000762:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000763:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000764:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000765:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000766:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000767:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000768:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000769:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000770:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000771:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000772:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000773:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000774:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000775:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000776:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000777:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000778:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000779:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000780:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000781:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000782:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000783:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000784:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000785:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000786:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000787:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000788:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000789:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000790:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000791:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000792:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000793:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000794:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000795:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000796:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000797:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000798:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000799:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000800:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000801:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000802:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000803:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000804:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000805:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000806:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000807:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000808:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000809:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000810:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000811:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000812:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000813:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000814:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000815:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000816:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000817:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000818:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000819:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000820:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000821:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000822:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000823:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000824:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000825:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000826:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000827:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000828:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000829:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000830:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000831:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000832:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000833:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000834:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000835:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000836:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000837:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000838:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000839:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000840:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000841:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000842:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000843:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000844:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000845:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000846:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000847:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000848:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000849:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000850:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000851:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000852:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000853:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000854:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000855:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000856:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000857:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000858:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000859:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000860:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000861:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000862:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000863:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000864:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000865:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000866:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000867:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000868:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000869:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000870:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000871:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000872:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000873:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000874:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000875:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000876:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000877:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000878:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000879:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000880:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000881:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000882:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000883:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000884:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000885:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000886:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000887:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000888:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000889:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000890:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000891:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000892:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000893:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000894:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000895:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000896:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000897:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000898:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000899:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000900:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000901:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000902:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000903:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000904:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000905:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000906:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000907:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000908:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000909:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000910:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000911:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000912:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000913:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000914:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000915:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000916:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000917:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000918:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000919:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000920:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000921:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000922:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000923:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000924:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000925:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000926:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000927:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000928:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000929:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000930:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000931:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000932:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000933:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000934:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000935:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000936:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000937:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000938:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000939:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000940:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000941:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000942:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000943:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000944:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000945:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000946:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000947:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000948:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000949:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000950:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000951:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000952:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000953:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000954:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000955:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000956:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000957:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000958:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000959:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000960:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000961:Fri Feb 24 11:21:59 2006--> (ERROR) Could not flip swap chain!
00000962:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000963:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000964:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000965:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000966:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000967:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000968:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000969:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000970:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000971:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000972:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000973:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000974:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000975:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000976:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000977:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000978:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000979:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000980:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000981:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000982:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000983:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000984:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000985:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000986:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000987:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000988:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000989:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000990:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000991:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000992:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000993:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000994:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000995:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000996:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000997:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000998:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00000999:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001000:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001001:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001002:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001003:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001004:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001005:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001006:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001007:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001008:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001009:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001010:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001011:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001012:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001013:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001014:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001015:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001016:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001017:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001018:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001019:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001020:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001021:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001022:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001023:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001024:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001025:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001026:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001027:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001028:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001029:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001030:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001031:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001032:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001033:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001034:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001035:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001036:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
00001037:Fri Feb 24 11:22:00 2006--> (ERROR) Could not flip swap chain!
